Word,Word,N_Dens (S),N_Freq (S) [1],N_Freq (S) [2],"N_Dens (S,A,D)","N_Freq (S,A,D) [1]","N_Freq (S,A,D) [2]",Neighbours,Neighbours,Edit distance to nw,Phon spread,C_coeff (sub only),C_coeff (SAD),Uniqueness point,n_watch
adrift,əˈdrɪft,0,0,0,1,2.515873844,2.515873844,['drɪft'],['drift'],3,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
adult,ˈadʌlt,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0]"
adultery,əˈdʌlt(ə)ri,1,1.322219295,1.322219295,1,1.322219295,1.322219295,['əˈdʌlt(ə)rə'],['adulterer'],4,1,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 1]"
adulthood,ˈadʌlthʊd,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0]"
advance,ədˈvɑːns,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
advantage,ədˈvɑːntɪdʒ,0,0,0,1,0.477121255,0.477121255,['ədˈvɑːntɪdʒd'],['advantaged'],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
advantageous,advənˈteɪdʒəs,0,0,0,0,0,0,[],[],7,0,0,0,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adventure,ədˈvɛntʃə,0,0,0,0,0,0,[],[],6,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
adverb,ˈadvəːb,2,1.35716488,1.35716488,2,1.35716488,1.35716488,"['ˈadvəːs', 'ˈadvəːt']","['adverse', 'advert']",3,1,1,1,5,"[0, 0, 0, 0, 2]"
adverse,ˈadvəːs,2,1.093760361,1.093760361,2,1.093760361,1.093760361,"['ˈadvəːb', 'ˈadvəːt']","['adverb', 'advert']",2,1,1,1,6,"[0, 0, 0, 0, 2]"
adversity,ədˈvəːsɪti,0,0,0,0,0,0,[],[],4,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0]"
advertise,ˈadvətʌɪz,0,0,0,1,0.954242509,0.954242509,['ˈadvətʌɪzə'],['advertiser'],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
advertisement,ədˈvəːtɪzm(ə)nt,0,0,0,0,0,0,[],[],5,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
advertising,ˈadvətʌɪzɪŋ,0,0,0,0,0,0,[],[],6,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
advice,ədˈvʌɪs,1,2.794488047,2.794488047,1,2.794488047,2.794488047,['ədˈvʌɪz'],['advise'],3,1,0,0,5,"[0, 0, 0, 0, 1]"
advisable,ədˈvʌɪzəb(ə)l,0,0,0,0,0,0,[],[],5,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
advise,ədˈvʌɪz,1,3.388811413,3.388811413,3,2.516446656,2.516446656,"['ədˈvʌɪs', 'ədˈvʌɪzd', 'ədˈvʌɪzə']","['advice', 'advised', 'adviser']",4,1,0,0.333333333,6,"[0, 0, 0, 0, 1]"
advisement,ədˈvʌɪzmənt,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
advisory,ədˈvʌɪz(ə)ri,0,0,0,0,0,0,[],[],6,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0]"
advocate,ˈadvəkət,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0]"
aerial,ˈɛːrɪəl,2,0.840620619,1.681241237,3,1.75451064,2.63176596,"['ˈɔːrɪəl', 'ˈɛːrɪən', 'ˈɛːrɪə']","['oriel', 'aryan', 'area']",4,2,0,0.333333333,4,"[1, 0, 0, 1]"
aerobic,ɛːˈrəʊbɪk,0,0,0,0,0,0,[],[],4,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
aeronautics,ɛːrəˈnɔːtɪks,0,0,0,0,0,0,[],[],7,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
aerosol,ˈɛːrəsɒl,0,0,0,0,0,0,[],[],4,0,0,0,5,"[0, 0, 0, 0, 0, 0]"
aerospace,ˈɛːrəspeɪs,0,0,0,0,0,0,[],[],4,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
aesthetic,iːsˈθɛtɪk,0,0,0,1,0,0,['iːsˈθɛtɪkl'],['aesthetical'],4,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
afar,əˈfɑː,3,1.952733406,1.952733406,4,2.477434653,2.477434653,"['əˈfɔː', 'fɑː', 'əˈdʒɑː', 'əˈfɛː']","['afore', 'far', 'ajar', 'affair']",2,2,0.333333333,0.166666667,3,"[0, 1, 2]"
affair,əˈfɛː,4,1.660010985,1.660010985,5,2.064852147,2.064852147,"['aˈfɛː', 'əˈfɔː', 'fɛː', 'əˈwɛː', 'əˈfɑː']","['affaire', 'afore', 'fair', 'aware', 'afar']",3,3,0.166666667,0.2,3,"[1, 1, 2]"
affect,əˈfɛkt,1,3.086359831,3.086359831,1,3.086359831,3.086359831,['ɪˈfɛkt'],['effect'],4,1,0,0,6,"[1, 0, 0, 0, 0]"
affection,əˈfɛkʃ(ə)n,0,0,0,1,2.440909082,2.440909082,['pəˈfɛkʃ(ə)n'],['perfection'],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
affiliate,əˈfɪlɪeɪt,1,1.079181246,1.079181246,1,1.079181246,1.079181246,['əˈfɪʃɪeɪt'],['officiate'],3,1,0,0,8,"[0, 0, 0, 1, 0, 0, 0]"
affinity,əˈfɪnɪti,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
affirm,əˈfəːm,0,0,0,1,3.255272505,3.255272505,['fəːm'],['firm'],2,0,0,0,5,"[0, 0, 0, 0]"
affirmation,afəˈmeɪʃ(ə)n,0,0,0,0,0,0,[],[],6,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0]"
affirmative,əˈfəːmətɪv,0,0,0,0,0,0,[],[],5,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
afford,əˈfɔːd,3,2.625241546,2.625241546,5,2.389226392,2.389226392,"['əˈfɔː', 'fɔːd', 'əˈwɔːd', 'əˈbɔːd', 'əˈkɔːd']","['afore', 'ford', 'award', 'aboard', 'accord']",2,1,1,0.3,4,"[0, 3, 0, 0]"
afghan,ˈafɡan,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0]"
aflame,əˈfleɪm,1,1.361727836,1.361727836,2,2.013184906,2.013184906,"['fleɪm', 'əˈkleɪm']","['flame', 'acclaim']",1,1,0,0,5,"[0, 1, 0, 0, 0]"
afloat,əˈfləʊt,0,0,0,1,2.582063363,2.582063363,['fləʊt'],['float'],3,0,0,0,4,"[0, 0, 0, 0, 0]"
afraid,əˈfreɪd,1,0.301029996,0.301029996,3,0.560413746,0.840620619,"['əˈfreɪ', 'freɪd', 'əˈbreɪd']","['affray', 'frayed', 'abrade']",1,1,0,0,5,"[0, 1, 0, 0, 0]"
African,ˈafrɪk(ə)n,1,0,0,2,1.490682755,2.981365509,"['ˈafrɪkət', 'ˈafrɪkə']","['affricate', 'africa']",3,1,0,1,7,"[0, 0, 0, 0, 0, 0, 1]"
afterbirth,ˈɑːftəbəːθ,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
aftermath,ˈɑːftəmɑːθ,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
afternoon,ɑːftəˈnuːn,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
afterthought,ˈɑːftəθɔːt,0,0,0,0,0,0,[],[],3,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
afterward,ˈɑːftəwəd,0,0,0,1,2.854306042,2.854306042,['ˈɑːftəwədz'],['afterwards'],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
age,eɪdʒ,10,2.296419569,2.551577299,18,2.416534395,2.558683477,"['eɪtʃ', 'weɪdʒ', 'ˈəːdʒ', 'seɪdʒ', 'reɪdʒ', 'peɪdʒ', 'ɡeɪdʒ', 'ɛdʒ', 'eɪ', 'eɪt', 'keɪdʒ', 'beɪdʒ', 'eɪp', 'eɪd', 'eɪl', 'eɪm', 'eɪs', 'eɪk']","['aitch', 'wage', 'urge', 'sage', 'rage', 'page', 'gauge', 'edge', 'eh', 'eight', 'cage', 'beige', 'ape', 'aide', 'ail', 'aim', 'ace', 'ache']",1,2,0.644444444,0.379084967,3,"[2, 8]"
aged,eɪdʒd,1,1.041392685,1.041392685,5,2.004090088,2.004090088,"['weɪdʒd', 'ɛdʒd', 'keɪdʒd', 'eɪd', 'eɪdʒ']","['waged', 'edged', 'caged', 'aide', 'age']",1,1,0,0.2,3,"[0, 1]"
ageless,ˈeɪdʒləs,0,0,0,0,0,0,[],[],4,0,0,0,3,"[0, 0, 0, 0, 0]"
agency,ˈeɪdʒ(ə)nsi,1,1.86923172,1.86923172,1,1.86923172,1.86923172,['ˈəːdʒ(ə)nsi'],['urgency'],2,1,0,0,5,"[1, 0, 0, 0, 0, 0]"
agenda,əˈdʒɛndə,1,2.149219113,2.149219113,2,2.153790803,2.153790803,"['əˈfɛndə', 'ˈdʒɛndə']","['offender', 'gender']",3,1,0,0,3,"[0, 1, 0, 0, 0, 0]"
agent,ˈeɪdʒ(ə)nt,2,1.829196513,1.829196513,2,1.829196513,1.829196513,"['ˈɑːdʒ(ə)nt', 'ˈəːdʒ(ə)nt']","['argent', 'urgent']",4,1,1,1,5,"[2, 0, 0, 0, 0]"
aggravate,ˈaɡrəveɪt,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
aggravation,ˌaɡrəˈveɪʃn,0,0,0,0,0,0,[],[],5,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0]"
aggregation,aɡrɪˈɡeɪʃ(ə)n,0,0,0,0,0,0,[],[],5,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
aggression,əˈɡrɛʃ(ə)n,1,1.886490725,1.886490725,1,1.886490725,1.886490725,['əˈprɛʃ(ə)n'],['oppression'],4,1,0,0,5,"[0, 1, 0, 0, 0, 0, 0]"
agile,ˈadʒʌɪl,1,0,0,1,0,0,['ˈarʌɪl'],['aryl'],4,1,0,0,5,"[0, 1, 0, 0]"
agility,əˈdʒɪlɪti,1,2.991669007,2.991669007,1,2.991669007,2.991669007,['əˈbɪlɪti'],['ability'],4,1,0,0,3,"[0, 1, 0, 0, 0, 0, 0]"
agitate,ˈadʒɪteɪt,1,0.84509804,0.84509804,2,0.962139643,0.962139643,"['ˈadʒɪteɪtə', 'ˈasɪteɪt']","['agitator', 'acetate']",3,1,0,0,7,"[0, 1, 0, 0, 0, 0]"
agitation,adʒɪˈteɪʃ(ə)n,0,0,0,0,0,0,[],[],4,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0]"
agitator,ˈadʒɪteɪtə,0,0,0,1,1.361727836,1.361727836,['ˈadʒɪteɪt'],['agitate'],3,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0]"
ago,əˈɡəʊ,3,1.509227149,1.509227149,5,2.242436242,2.242436242,"['ˈəːɡəʊ', 'ˈɑːɡəʊ', 'ɡəʊ', 'ˈiːɡəʊ', 'əˈɡləʊ']","['ergo', 'argot', 'go', 'ego', 'aglow']",2,1,1,0.6,3,"[3, 0, 0]"
agonize,ˈaɡənʌɪz,1,2.344392274,2.344392274,2,1.729167813,1.729167813,"['ˈɔːɡ(ə)nʌɪz', 'ˈaɡənʌɪzd']","['organize', 'agonized']",2,1,0,0,7,"[1, 0, 0, 0, 0, 0]"
agony,ˈaɡəni,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0]"
agree,əˈɡriː,0,0,0,2,1.631581233,3.263162465,"['əˈɡriːv', 'əˈɡriːd']","['aggrieve', 'agreed']",1,0,0,1,5,"[0, 0, 0, 0]"
agreement,əˈɡriːm(ə)nt,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0]"
