Word,Word,N_Dens (S),N_Freq (S) [1],N_Freq (S) [2],"N_Dens (S,A,D)","N_Freq (S,A,D) [1]","N_Freq (S,A,D) [2]",Neighbours,Neighbours,Edit distance to nw,Phon spread,C_coeff (sub only),C_coeff (SAD),Uniqueness point,n_watch
chalk,tʃɔːk,15,2.405809692,2.405809692,18,2.136153187,2.136153187,"['tʃɔː', 'tʃɛk', 'tʃɒk', 'ɔːk', 'jɔːk', 'wɔːk', 'tɔːk', 'pɔːk', 'hɔːk', 'ɡɔːk', 'fɔːk', 'kɔːk', 'tʃɪk', 'tʃəʊk', 'tʃʌk', 'ˈtʃɔːki', 'tʃiːk', 'bɔːk']","['chaw', 'cheque', 'choc', 'auk', 'york', 'walk', 'torque', 'pork', 'hawk', 'gawk', 'fork', 'cork', 'chick', 'choke', 'chuck', 'chalky', 'cheek', 'balk']",2,2,0.485714286,0.392156863,4,"[9, 6, 0]"
chalkboard,ˈtʃɔːkbɔːd,0,0,0,0,0,0,[],[],4,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
challenge,ˈtʃalɪn(d)ʒ,0,0,0,2,2.104032474,2.104032474,"['ˈtʃalɪndʒd', 'ˈtʃalɪndʒə']","['challenged', 'challenger']",1,0,0,1,7,"[0, 0, 0, 0, 0, 0]"
chamber,ˈtʃeɪmbə,0,0,0,1,0.602059991,0.602059991,['ˈtʃeɪmbəd'],['chambered'],3,0,0,0,6,"[0, 0, 0, 0, 0]"
chameleon,kəˈmiːlɪən,1,2.322219295,2.322219295,1,2.322219295,2.322219295,['kəˈmiːdɪən'],['comedian'],1,1,0,0,5,"[0, 0, 0, 0, 1, 0, 0]"
champ,tʃamp,10,1.852088756,2.057876395,11,1.912070084,2.103277092,"['ɡamp', 'vamp', 'tamp', 'ramp', 'lamp', 'damp', 'tʃɪmp', 'tʃɒmp', 'tʃʌmp', 'tʃap', 'kamp']","['gamp', 'vamp', 'tamp', 'ramp', 'lamp', 'damp', 'chimp', 'chomp', 'chump', 'chap', 'camp']",1,2,0.533333333,0.436363636,5,"[7, 3, 0, 0]"
champagne,ʃamˈpeɪn,2,1.855566036,1.855566036,2,1.855566036,1.855566036,"['ˈtʃampeɪn', 'kamˈpeɪn']","['champaign', 'campaign']",3,1,1,1,5,"[2, 0, 0, 0, 0, 0]"
champion,ˈtʃampɪən,2,1.004300086,1.004300086,2,1.004300086,1.004300086,"['ˈkampɪən', 'ˈtʃampeɪn']","['campion', 'champaign']",3,2,0,0,7,"[1, 0, 0, 0, 1, 0]"
chance,tʃɑːns,3,2.896827772,2.896827772,4,2.432969,2.432969,"['lɑːns', 'dɑːns', 'ˈtʃɑːnsi', 'tʃɑːnt']","['lance', 'dance', 'chancy', 'chant']",1,2,0.333333333,0.166666667,5,"[2, 0, 0, 1]"
chandelier,ˌʃandəˈlɪə,0,0,0,0,0,0,[],[],3,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
change,tʃeɪn(d)ʒ,2,2.072193687,2.072193687,3,2.393005277,2.393005277,"['meɪn(d)ʒ', 'reɪn(d)ʒ', 'tʃeɪn']","['mange', 'range', 'chain']",2,1,1,0.333333333,5,"[2, 0, 0, 0]"
channel,ˈtʃan(ə)l,4,1.746870804,1.746870804,4,1.746870804,1.746870804,"['ˈtʃɑːn(ə)l', 'ˈpan(ə)l', 'ˈtʃap(ə)l', 'ˈtʃat(ə)l']","['charnel', 'panel', 'chapel', 'chattel']",1,3,0.166666667,0.166666667,3,"[1, 1, 2, 0, 0]"
chant,tʃɑːnt,3,1.363348774,4.090046322,6,1.754259055,2.631388582,"['ʃɑːnt', 'tʃɑːns', 'ˈtʃɑːntə', 'tʃɑːt', 'kɑːnt', 'ɑːnt']","[""shan't"", 'chance', 'chanter', 'chart', ""can't"", 'aunt']",1,2,0.333333333,0.2,5,"[2, 0, 0, 1]"
chaos,ˈkeɪɒs,1,0.477121255,0.477121255,3,2.607331861,2.607331861,"['krɒs', 'kɒs', 'keɪs']","['crosse', 'cos', 'case']",1,1,0,0.666666667,4,"[0, 1, 0, 0]"
chaotic,keɪˈɒtɪk,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
chap,tʃap,18,2.391676766,2.532363635,21,2.333934073,2.450630777,"['nap', 'hap', 'ap', 'rap', 'jap', 'zap', 'tap', 'sap', 'pap', 'map', 'lap', 'ɡap', 'tʃɪp', 'tʃəːp', 'tʃɒp', 'tʃad', 'tʃamp', 'tʃaps', 'tʃat', 'tʃiːp', 'kap']","['knap', 'hap', 'app', 'wrap', 'yap', 'zap', 'tap', 'sap', 'pap', 'map', 'lap', 'gap', 'chip', 'chirp', 'chop', 'chad', 'champ', 'chaps', 'chat', 'cheap', 'cap']",1,3,0.477124183,0.404761905,4,"[12, 4, 2]"
chapel,ˈtʃap(ə)l,3,1.433212675,2.149819013,4,1.84542624,2.46056832,"['ˈdap(ə)l', 'ˈtʃan(ə)l', 'ˈtʃat(ə)l', 'ˈap(ə)l']","['dapple', 'channel', 'chattel', 'apple']",1,2,0.333333333,0.333333333,4,"[1, 0, 2, 0, 0]"
chaperone,ˈʃapərəʊn,0,0,0,0,0,0,[],[],1,0,0,0,3,"[0, 0, 0, 0, 0, 0, 0]"
chaps,tʃaps,3,2.159048911,2.159048911,5,1.797806019,2.247257524,"['laps', 'tʃɒps', 'tʃap', 'kaps', 'aps']","['lapse', 'chops', 'chap', 'caps', 'apse']",1,2,0.333333333,0.3,4,"[2, 1, 0, 0]"
chapter,ˈtʃaptə,1,1.204119983,1.204119983,2,1.791258942,1.791258942,"['ˈtʃatə', 'ˈkaptə']","['chatter', 'captor']",2,1,0,0,4,"[1, 0, 0, 0, 0]"
character,ˈkarəktə,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
characteristic,karəktəˈrɪstɪk,0,0,0,0,0,0,[],[],5,0,0,0,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
characterization,karaktərʌɪˈzeɪʃ(ə)n,0,0,0,0,0,0,[],[],6,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
characterize,ˈkarəktərʌɪz,0,0,0,0,0,0,[],[],6,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
charades,ʃəˈrɑːdz ,0,0,0,1,2.053078443,2.053078443,['ʃəˈrɑːd'],['charade'],3,0,0,0,6,"[0, 0, 0, 0, 0, 0]"
charcoal,ˈtʃɑːkəʊl,0,0,0,0,0,0,[],[],2,0,0,0,3,"[0, 0, 0, 0, 0]"
charge,tʃɑːdʒ,9,2.175343586,2.175343586,12,2.175734337,2.175734337,"['sɑːdʒ', 'tʃɑːf', 'rɑː(d)ʒ', 'mɑːdʒ', 'lɑːdʒ', 'tʃɑː', 'tʃɑːd', 'tʃɑːdʒd', 'ˈtʃɑːdʒə', 'tʃɑːm', 'tʃɑːt', 'bɑːdʒ']","['sarge', 'chaff', 'raj', 'marge', 'large', 'char', 'chard', 'charged', 'charger', 'charm', 'chart', 'barge']",3,2,0.444444444,0.333333333,4,"[5, 0, 4]"
charger,ˈtʃɑːdʒə,3,2.285359975,2.285359975,4,2.628761192,2.628761192,"['tʃɑːdʒ', 'tʃɑːdʒd', 'ˈtʃɑːmə', 'ˈtʃɑːtə']","['charge', 'charged', 'charmer', 'charter']",4,2,0.333333333,0.333333333,5,"[0, 0, 2, 1]"
chariot,ˈtʃarɪət,1,0.84509804,0.84509804,2,0.661109648,0.661109648,"['ˈlarɪət', 'tʃarɪəˈtɪə']","['lariat', 'charioteer']",1,1,0,0,6,"[1, 0, 0, 0, 0]"
charisma,kəˈrɪzmə,1,0,0,1,0,0,['kəˈrɪɡmə'],['kerygma'],2,1,0,0,5,"[0, 0, 0, 0, 1, 0, 0]"
charitable,ˈtʃarɪtəb(ə)l,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
charity,ˈtʃarɪti,1,0.77815125,0.77815125,1,0.77815125,0.77815125,['ˈparɪti'],['parity'],2,1,0,0,6,"[1, 0, 0, 0, 0, 0]"
charm,tʃɑːm,13,2.030187245,2.399312199,17,2.12232046,2.405296521,"['tʃɑːf', 'bɑːm', 'sɑːm', 'pɑːm', 'mɑːm', 'hɑːm', 'fɑːm', 'tʃʌɪm', 'tʃʌm', 'tʃɑː', 'tʃɑːd', 'tʃɑːdʒ', 'tʃɑːmd', 'ˈtʃɑːmə', 'tʃɑːt', 'kɑːm', 'ɑːm']","['chaff', 'barm', 'psalm', 'palm', ""ma'am"", 'harm', 'farm', 'chime', 'chum', 'char', 'chard', 'charge', 'charmed', 'charmer', 'chart', 'calm', 'arm']",2,3,0.358974359,0.301470588,4,"[7, 2, 4]"
chart,tʃɑːt,15,2.282146181,2.282146181,19,2.31069962,2.31069962,"['hɑːt', 'ɡɑːt', 'tʃɑːf', 'tɑːt', 'pɑːt', 'mɑːt', 'fɑːt', 'dɑːt', 'tʃɪt', 'tʃɑːnt', 'tʃɑː', 'tʃɑːd', 'tʃɑːdʒ', 'tʃɑːm', 'ˈtʃɑːtə', 'tʃat', 'tʃiːt', 'kɑːt', 'ɑːt']","['hart', 'ghat', 'chaff', 'tart', 'part', 'mart', 'fart', 'dart', 'chit', 'chant', 'char', 'chard', 'charge', 'charm', 'charter', 'chat', 'cheat', 'cart', 'art']",2,3,0.352380952,0.286549708,4,"[8, 3, 4]"
charter,ˈtʃɑːtə,10,1.949243604,1.949243604,13,1.857005326,1.857005326,"['ˈrɑːtə', 'ˈtɑːtə', 'ˈmɑːtə', 'ˈɡɑːtə', 'ˈtʃɑːntə', 'ˈtʃɑːdʒə', 'ˈtʃɑːmə', 'tʃɑːt', 'ˈtʃɑːtəd', 'ˈtʃatə', 'ˈtʃiːtə', 'ˈkɑːtə', 'ˈbɑːtə']","['rata', 'tartar', 'martyr', 'garter', 'chanter', 'charger', 'charmer', 'chart', 'chartered', 'chatter', 'cheetah', 'carter', 'barter']",3,3,0.377777778,0.217948718,5,"[6, 2, 2, 0]"
chase,tʃeɪs,12,2.79506118,2.79506118,15,2.648959233,2.648959233,"['deɪs', 'reɪs', 'peɪs', 'meɪs', 'leɪs', 'feɪs', 'tʃɛs', 'tʃɔɪs', 'tʃeɪf', 'tʃeɪn', 'ˈtʃeɪsə', 'tʃeɪst', 'keɪs', 'beɪs', 'eɪs']","['dace', 'race', 'pace', 'mace', 'lace', 'face', 'chess', 'choice', 'chafe', 'chain', 'chaser', 'chaste', 'case', 'base', 'ace']",1,3,0.454545455,0.371428571,4,"[8, 2, 2]"
chaser,ˈtʃeɪsə,6,1.199326382,1.199326382,8,1.362104375,1.362104375,"['ˈfeɪsə', 'ˈtʃeɪfə', 'ˈreɪsə', 'ˈpeɪsə', 'ˈmeɪsə', 'tʃeɪs', 'tʃeɪst', 'ˈtʃeɪs(ə)n']","['facer', 'chafer', 'racer', 'pacer', 'mesa', 'chase', 'chaste', 'chasten']",3,3,0.4,0.25,5,"[4, 0, 1, 1]"
chastity,ˈtʃastɪti,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
chat,tʃat,20,2.715873224,2.715873224,22,2.655084806,2.655084806,"['tat', 'ʃat', 'nat', 'lat', 'ɡat', 'vat', 'ðat', 'sat', 'rat', 'pat', 'mat', 'hat', 'fat', 'tʃɪt', 'tʃad', 'tʃap', 'tʃɑːt', 'ˈtʃatə', 'ˈtʃati', 'tʃiːt', 'kat', 'bat']","['tat', 'shat', 'nat', 'lat', 'gat', 'vat', 'that', 'sat', 'rat', 'pat', 'matt', 'hat', 'fat', 'chit', 'chad', 'chap', 'chart', 'chatter', 'chatty', 'cheat', 'cat', 'bat']",2,3,0.573684211,0.476190476,4,"[15, 3, 2]"
chatter,ˈtʃatə,12,1.761227965,1.921339598,16,1.878315574,2.003536613,"['ˈsatə', 'ˈratə', 'ˈnatə', 'ˈatə', 'ˈʃatə', 'ˈpatə', 'ˈmatə', 'ˈlatə', 'ˈhatə', 'ˈtʃaptə', 'ˈtʃɑːtə', 'tʃat', 'ˈtʃat(ə)l', 'ˈtʃati', 'ˈtʃiːtə', 'ˈbatə']","['satyr', 'ratter', 'natter', 'atta', 'shatter', 'patter', 'matter', 'latter', 'hatter', 'chapter', 'charter', 'chat', 'chattel', 'chatty', 'cheetah', 'batter']",1,3,0.560606061,0.391666667,5,"[9, 2, 0, 1]"
chatterbox,ˈtʃatəbɒks,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0]"
chatty,ˈtʃati,8,1.711078053,1.711078053,9,1.845358383,1.845358383,"['ˈtati', 'ˈbati', 'ˈrati', 'ˈpati', 'ˈnati', 'ˈfati', 'tʃat', 'ˈtʃatə', 'ˈkati']","['tatty', 'batty', 'ratty', 'patty', 'natty', 'fatty', 'chat', 'chatter', 'catty']",1,2,0.75,0.611111111,4,"[7, 0, 0, 1]"
chauffeur,ʃəʊˈfəː,0,0,0,1,0,0,['ʃəʊˈfəːz'],['chauffeuse'],2,0,0,0,5,"[0, 0, 0, 0]"
chauvinism,ˈʃəʊv(ɪ)nɪz(ə)m,0,0,0,0,0,0,[],[],5,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
chauvinistic,ʃəʊv(ɪ)ˈnɪstɪk,0,0,0,0,0,0,[],[],5,0,0,0,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cheap,tʃiːp,20,2.583443475,2.583443475,20,2.583443475,2.583443475,"['niːp', 'wiːp', 'ʃiːp', 'siːp', 'riːp', 'piːp', 'liːp', 'kiːp', 'dʒiːp', 'hiːp', 'diːp', 'tʃiːf', 'tʃɪp', 'tʃəːp', 'tʃɒp', 'tʃap', 'tʃiːt', 'tʃiːk', 'tʃiːz', 'biːp']","['neap', 'weep', 'sheep', 'seep', 'reap', 'peep', 'leap', 'keep', 'jeep', 'heap', 'deep', 'chief', 'chip', 'chirp', 'chop', 'chap', 'cheat', 'cheek', 'cheese', 'beep']",1,3,0.410526316,0.410526316,4,"[12, 4, 4]"
cheapen,ˈtʃiːp(ə)n,1,1.146128036,1.146128036,1,1.146128036,1.146128036,['ˈdiːp(ə)n'],['deepen'],1,1,0,0,4,"[1, 0, 0, 0, 0]"
cheapskate,ˈtʃiːpskeɪt,0,0,0,0,0,0,[],[],1,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
cheat,tʃiːt,18,2.551013495,2.701073112,19,2.525796048,2.666118051,"['liːt', 'wiːt', 'tiːt', 'ʃiːt', 'siːt', 'piːt', 'niːt', 'miːt', 'hiːt', 'fiːt', 'tʃiːf', 'tʃɪt', 'tʃɑːt', 'tʃat', 'tʃiːp', 'tʃiːk', 'tʃiːz', 'ˈtʃiːtə', 'biːt']","['leet', 'wheat', 'teat', 'sheet', 'seat', 'peat', 'neat', 'meat', 'heat', 'feat', 'chief', 'chit', 'chart', 'chat', 'cheap', 'cheek', 'cheese', 'cheetah', 'beat']",2,3,0.418300654,0.374269006,4,"[11, 3, 4]"
check,tʃɛk,15,2.527936028,2.527936028,17,2.429186145,2.581010279,"['tɛk', 'ˈtʃɛkə', 'tʃɒk', 'rɛk', 'sɛk', 'pɛk', 'nɛk', 'hɛk', 'dɛk', 'tʃɛs', 'tʃɪk', 'tʃəʊk', 'tʃʌk', 'tʃɔːk', 'tʃɛkt', 'tʃiːk', 'bɛk']","['tec', 'chequer', 'choc', 'wreck', 'sec', 'peck', 'neck', 'heck', 'deck', 'chess', 'chick', 'choke', 'chuck', 'chalk', 'checked', 'cheek', 'beck']",1,3,0.40952381,0.323529412,4,"[8, 6, 1]"
checker,ˈtʃɛkə,7,1.743564279,1.743564279,10,1.562901448,1.562901448,"['ˈpɛkə', 'ˈtʃʌkə', 'tʃɛk', 'ˈtʃɛkəd', 'ˈtʃɛkəz', 'ˈrɛkə', 'ˈmɛkə', 'ˈtʃəʊkə', 'tʃɛkt', 'ˈtʃɛdə']","['pecker', 'chukka', 'cheque', 'chequered', 'chequers', 'wrecker', 'mecca', 'choker', 'checked', 'cheddar']",2,4,0.19047619,0.133333333,5,"[3, 2, 1, 1]"
checkers,ˈtʃɛkəz ,1,0.477121255,0.477121255,2,0.238560628,0.477121255,"['ˈtʃɛkə', 'ˈtʃɛkəd']","['chequer', 'chequered']",3,0,0,1,4,"[0, 0, 0, 0]"
checklist,ˈtʃɛklɪst,0,0,0,1,1.342422681,1.342422681,['ˈtʃɛlɪst'],['cellist'],2,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
checkmate,ˈtʃɛkmeɪt,0,0,0,0,0,0,[],[],2,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
checkpoint,ˈtʃɛkpɔɪnt,0,0,0,0,0,0,[],[],4,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
checkroom,ˈtʃɛkruːm,0,0,0,0,0,0,[],[],2,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
cheddar,ˈtʃɛdə,3,1.11135048,1.66702572,3,1.11135048,1.66702572,"['ˈtʃɛkə', 'ˈhɛdə', 'ˈtʃaʊdə']","['chequer', 'header', 'chowder']",1,3,0,0,3,"[1, 1, 1, 0]"
cheek,tʃiːk,19,2.238281046,2.362629993,20,2.217012661,2.333697538,"['tiːk', 'piːk', 'tʃɛk', 'tʃɒk', 'riːk', 'wiːk', 'siːk', 'ʃiːk', 'miːk', 'liːk', 'tʃɪk', 'tʃiːf', 'tʃəʊk', 'tʃʌk', 'tʃɔːk', 'tʃiːp', 'tʃiːt', 'ˈtʃiːki', 'tʃiːz', 'biːk']","['teak', 'peke', 'cheque', 'choc', 'wreak', 'weak', 'sikh', 'sheikh', 'meek', 'leak', 'chick', 'chief', 'choke', 'chuck', 'chalk', 'cheap', 'cheat', 'cheeky', 'cheese', 'beak']",1,3,0.333333333,0.3,4,"[9, 6, 4]"
cheer,tʃɪə,21,2.302784097,2.417923301,23,2.375458072,2.483433439,"['sɪə', 'lɪə', 'tʃɔː', 'bɪə', 'wɪə', 'vɪə', 'tɪə', 'ʃɪə', 'rɪə', 'pɪə', 'nɪə', 'mɪə', 'dʒɪə', 'hɪə', 'ɡɪə', 'fɪə', 'ɪə', 'dɪə', 'tʃuː', 'tʃaʊ', 'tʃɛː', 'tʃɑː', 'tʃɪəz']","['sere', 'lear', 'chaw', 'bier', 'weir', 'veer', 'tier', 'shear', 'rear', 'pier', 'near', 'mere', 'jeer', 'here', 'gear', 'fear', 'ear', 'dear', 'chew', 'chow', 'chair', 'char', 'cheers']",2,2,0.619047619,0.577075099,3,"[16, 5]"
cheerful,ˈtʃɪəfʊl,2,1.703525408,1.703525408,2,1.703525408,1.703525408,"['ˈtɪəfʊl', 'ˈfɪəfʊl']","['tearful', 'fearful']",3,1,1,1,4,"[2, 0, 0, 0, 0]"
cheery,ˈtʃɪəri,8,1.75750371,2.008575669,9,1.779363577,2.001784024,"['ˈpɪəri', 'ˈtʃɛːri', 'ˈbɪəri', 'ˈwɪəri', 'ˈθɪəri', 'ˈlɪəri', 'ˈɪəri', 'ˈdɪəri', 'ˈtʃɛri']","['peri', 'chary', 'beery', 'weary', 'theory', 'leery', 'eerie', 'dearie', 'cherry']",2,2,0.571428571,0.611111111,4,"[6, 2, 0, 0]"
cheese,tʃiːz,13,2.471482053,2.67743889,14,2.50844795,2.701405485,"['tiːz', 'liːz', 'wiːz', 'ðiːz', 'siːz', 'hiːz', 'iːz', 'tʃiːf', 'tʃuːz', 'tʃəʊz', 'tʃiːp', 'tʃiːt', 'tʃiːk', 'tʃɪəz']","['tees', 'lees', 'wheeze', 'these', 'seize', ""he's"", 'ease', 'chief', 'choose', 'chose', 'cheap', 'cheat', 'cheek', 'cheers']",2,3,0.307692308,0.32967033,4,"[6, 3, 4]"
cheetah,ˈtʃiːtə,10,1.757205974,1.757205974,12,1.869645941,1.869645941,"['ˈviːtə', 'ˈmiːtə', 'ˈliːtə', 'ˈiːtə', 'ˈtʃiːbə', 'ˈtiːtə', 'ˈpiːtə', 'ˈhiːtə', 'ˈtʃɑːtə', 'ˈtʃatə', 'tʃiːt', 'ˈbiːtə']","['vita', 'metre', 'litre', 'eater', 'chiba', 'teeter', 'peter', 'heater', 'charter', 'chatter', 'cheat', 'beta']",3,3,0.488888889,0.439393939,4,"[7, 2, 1, 0]"
chef,ʃɛf,6,1.857537063,1.857537063,8,1.859095454,1.859095454,"['lɛf', 'ɛf', 'dɛf', 'ʃiːf', 'ʃɛd', 'ʃɛlf', 'ʃɛl', 'rɛf']","['lev', 'eff', 'def', 'sheaf', 'shed', 'shelf', 'shell', 'ref']",1,3,0.266666667,0.285714286,3,"[3, 1, 2]"
chemical,ˈkɛmɪk(ə)l,1,1.633468456,1.633468456,2,1.678872163,1.678872163,"['ˈkɒmɪk(ə)l', 'ˈkɛmɪk(ə)li']","['comical', 'chemically']",2,1,0,0,8,"[0, 1, 0, 0, 0, 0, 0]"
chemist,ˈkɛmɪst,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
chemotherapy,ˌkiːmə(ʊ)ˈθɛrəpi,0,0,0,0,0,0,[],[],2,0,0,0,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cherish,ˈtʃɛrɪʃ,1,2.123851641,2.123851641,1,2.123851641,2.123851641,['ˈpɛrɪʃ'],['perish'],3,1,0,0,4,"[1, 0, 0, 0, 0]"
cherry,ˈtʃɛri,12,2.544917171,2.776273278,12,2.544917171,2.776273278,"['ˈwɛri', 'ˈpɛri', 'ˈkɛri', 'ˈtʃɛːri', 'ˈvɛri', 'ˈtɛri', 'ˈʃɛri', 'ˈmɛri', 'ˈdʒɛri', 'ˈfɛri', 'ˈtʃɪəri', 'ˈbɛri']","['wherry', 'perry', 'kerry', 'chary', 'very', 'terry', 'sherry', 'merry', 'jerry', 'ferry', 'cheery', 'bury']",1,2,0.696969697,0.696969697,4,"[10, 2, 0, 0]"
chess,tʃɛs,11,2.979956814,3.277952495,12,3.008323249,3.281807181,"['nɛs', 'dʒɛs', 'fɛs', 'tʃɛk', 'jɛs', 'mɛs', 'lɛs', 'ˈhɛs', 'ɡɛs', 'tʃɛst', 'tʃɔɪs', 'tʃeɪs']","['ness', 'jess', 'fess', 'cheque', 'yes', 'mess', 'less', 'hesse', 'guess', 'chest', 'choice', 'chase']",2,3,0.527272727,0.439393939,4,"[8, 2, 1]"
chest,tʃɛst,13,2.556504079,2.556504079,17,2.470456552,2.470456552,"['ɛst', 'ˈtʃɛstə', 'zɛst', 'rɛst', 'wɛst', 'vɛst', 'tɛst', 'pɛst', 'nɛst', 'lɛst', 'dʒɛst', 'ɡɛst', 'tʃɛs', 'ˈtʃɛsti', 'tʃeɪst', 'tʃɛkt', 'bɛst']","['est', 'chester', 'zest', 'wrest', 'west', 'vest', 'test', 'pest', 'nest', 'lest', 'jest', 'guest', 'chess', 'chesty', 'chaste', 'checked', 'best']",3,3,0.705128205,0.492647059,5,"[11, 1, 1, 0]"
chestnut,ˈtʃɛsnʌt,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
chew,tʃuː,20,2.341930629,2.465190136,22,2.318467468,2.428870681,"['wuː', 'juː', 'suː', 'ruː', 'luː', 'tʃɔː', 'zuː', 'tuː', 'ʃuː', 'puː', 'muː', 'dʒuː', 'ɡuː', 'duː', 'kuː', 'tʃuːz', 'tʃaʊ', 'tʃɛː', 'tʃɑː', 'tʃɪə', 'buː', 'əˈtʃuː']","['wu', 'yew', 'sou', 'roux', 'loo', 'chaw', 'zoo', 'two', 'shoe', 'pooh', 'moo', 'jew', 'goo', 'do', 'coup', 'choose', 'chow', 'chair', 'char', 'cheer', 'boo', 'achoo']",2,2,0.605263158,0.497835498,3,"[15, 5]"
chick,tʃɪk,23,2.581725498,2.581725498,24,2.552038258,2.552038258,"['mɪk', 'dɪk', 'tʃɛk', 'tʃɪŋ', 'tʃɪŋk', 'tʃɒk', 'wɪk', 'tɪk', 'θɪk', 'sɪk', 'rɪk', 'pɪk', 'nɪk', 'lɪk', 'kɪk', 'hɪk', 'tʃɪl', 'tʃɪn', 'tʃɪp', 'tʃɪt', 'tʃəʊk', 'tʃʌk', 'tʃɔːk', 'tʃiːk']","['mick', 'dick', 'cheque', 'ching', 'chink', 'choc', 'wick', 'tic', 'thick', 'sic', 'rick', 'pick', 'nick', 'lick', 'kick', 'hick', 'chill', 'chin', 'chip', 'chit', 'choke', 'chuck', 'chalk', 'cheek']",1,3,0.359683794,0.333333333,4,"[12, 6, 5]"
chickadee,ˈtʃɪkədiː,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0]"
chicken,ˈtʃɪkɪn,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0]"
chief,tʃiːf,12,2.037503338,2.037503338,12,2.037503338,2.037503338,"['liːf', 'tʃɑːf', 'θiːf', 'ʃiːf', 'riːf', 'fiːf', 'tʃeɪf', 'tʃiːp', 'tʃiːt', 'tʃiːk', 'tʃiːz', 'biːf']","['lief', 'chaff', 'thief', 'sheaf', 'reef', 'fief', 'chafe', 'cheap', 'cheat', 'cheek', 'cheese', 'beef']",2,3,0.333333333,0.333333333,4,"[6, 2, 4]"
child,tʃʌɪld,3,2.57141499,2.57141499,4,2.123099055,2.123099055,"['wʌɪld', 'mʌɪld', 'tʃʌɪd', 'tʃɪld']","['wild', 'mild', 'chide', 'chilled']",2,2,0.333333333,0.166666667,5,"[2, 1, 0, 0]"
childbirth,ˈtʃʌɪl(d)bəːθ,0,0,0,0,0,0,[],[],2,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0]"
childish,ˈtʃʌɪldɪʃ,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
childless,ˈtʃʌɪldləs,0,0,0,0,0,0,[],[],2,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0]"
children,ˈtʃɪldrən,0,0,0,0,0,0,[],[],3,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
chill,tʃɪl,20,2.526652859,2.526652859,24,2.397226228,2.397226228,"['rɪl', 'tʃəːl', 'ˈtʃɪlə', 'ˈtʃɪli', 'tʃɪŋ', 'wɪl', 'tɪl', 'sɪl', 'ʃɪl', 'pɪl', 'nɪl', 'mɪl', 'kɪl', 'ɪl', 'hɪl', 'ɡɪl', 'fɪl', 'dɪl', 'tʃɪk', 'tʃɪld', 'tʃɪn', 'tʃɪp', 'tʃɪt', 'bɪl']","['rill', 'churl', 'chiller', 'chilli', 'ching', 'will', 'till', 'sill', 'shill', 'pill', 'nil', 'mill', 'kill', 'ill', 'hill', 'gill', 'fill', 'dill', 'chick', 'chilled', 'chin', 'chip', 'chit', 'bill']",1,3,0.531578947,0.427536232,4,"[14, 1, 5]"
chime,tʃʌɪm,9,1.861912065,1.861912065,10,1.675720859,1.861912065,"['tʃʌɪn', 'tʌɪm', 'rʌɪm', 'mʌɪm', 'lʌɪm', 'ʌɪm', 'dʌɪm', 'tʃʌɪd', 'tʃʌm', 'tʃɑːm']","['chine', 'thyme', 'rhyme', 'mime', 'lime', ""i'm"", 'dime', 'chide', 'chum', 'charm']",1,3,0.333333333,0.377777778,3,"[5, 2, 2]"
chimney,ˈtʃɪmni,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0]"
